,blockNumber,address,gasPrice,meanGasPriceLastTenBlocks,stdGasPriceLastTenBlocks,meanGasPriceLastTenBlocksSameEOA,stdGasPriceLastTenBlocksSameEOA,usedGasToken,predictedGasPrice
1394,10993078,0x58275e42f0DDB2Ea342a1C57f4966928A66a4289,1.3e-07,1.3730416807545938e-07,1.3739437681054175e-06,1.299999999995e-07,5.000009019614153e-19,False,4.048685803500688e-08
1395,10709925,0x091d84a8125354FCC1bE9C6Ac284Ff9C62a9cA38,1e-07,1.1115053099100102e-07,9.264895356336308e-08,9.199999999949999e-08,7.999999999999999e-09,False,4.048685720871744e-08
1396,10563346,0x69A895686ab085D703071D6c6ffb49a40FF3efB4,8.5e-08,6.059696308412524e-08,2.9124782190518923e-08,7.299999999949999e-08,1.1999999999999998e-08,False,4.048685555613858e-08
1397,10674500,0x3829F1E9C2Da88beEbBd4273A574F1c5704F5c4a,8.9137592344e-08,1.0359075910320929e-07,9.462529732210187e-08,8.6368796288e-08,2.7687960559999994e-09,False,4.048685658900037e-08
1398,10732804,0xE2C9D57B79a2CA452398ab5C4589135C348D92E9,6.1e-08,7.414145100773572e-08,7.973543690280436e-08,6.1e-08,0.0,False,4.048685617585565e-08
1399,11264589,0xdB9c8428e68a1E6B2244C92127D2dcD708F893f4,3.5e-08,2.4083463266948597e-08,1.698981638948877e-08,4e-08,4.9999999999999985e-09,False,4.0486855142993866e-08
1400,11145164,0x0B977A1eCAc9Ed3683f526406cD78d44f158320D,5.42e-07,9.393748020853333e-08,5.008493845217946e-08,3.411461667516666e-07,1.9257388889729107e-07,False,4.0486857002145086e-08
1401,10955797,0xb27179Fb6d0412F0EC9873Baf26DAe3457c5494a,1.2e-07,1.3156640658737052e-07,8.034691009534444e-08,1.1719999999975001e-07,2.7999999997499915e-09,False,4.0486857828434514e-08
1402,10669480,0xb55DBB4dA8eE8Ee4D101B476DF1160065b81e12A,8.9e-08,1.0303226808453547e-07,5.15233433336764e-08,8.82499999995e-08,4.3301270189222034e-10,False,4.0486857002145086e-08
1403,8628724,0xE185E2Ab092e8a046cbb815174D9D6aAe1C91d9a,2.420000002e-08,2.8842923436050057e-08,1.497594017996154e-08,2.4200000009500002e-08,1.0500000739537975e-17,False,4.0486855142993866e-08
1404,10626599,0xb55DBB4dA8eE8Ee4D101B476DF1160065b81e12A,1.04500000233e-07,1.1136371639863556e-07,9.907910571855048e-08,1.0247500048075001e-07,1.5254095409636131e-09,False,4.048685762186216e-08
1405,11159309,0x725277600A1b1416EAB510AabEdBf6911e0bbD84,1.11e-07,1.3521377634603108e-07,1.6346481271493181e-06,8.6e-08,2.5e-08,False,4.048685762186216e-08
1406,11025367,0x3C28AFa9c4de3f245C550340B2205286723193ce,5.3110000001e-08,6.265409246134738e-08,8.612581994193762e-08,5.0055e-08,3.0550000009999984e-09,False,4.0486855969283294e-08
1407,11019385,0x58275e42f0DDB2Ea342a1C57f4966928A66a4289,3.5000001459e-08,5.499466517864727e-08,8.038856422497829e-08,1.576666671525e-07,1.713599197680381e-07,False,4.048685555613858e-08
1408,10394922,0x0Ea09d7d36d781E2A280a50d50A67A4D5e67c6C1,2.42e-08,2.5275653000021572e-08,1.403502654778887e-08,3.473333333283333e-08,1.4334418563567747e-08,False,4.0486855142993866e-08
1409,7181878,0xfF7Baf00edF054E249e9f498aa51d1934B8d3526,4.999999999e-09,1.1313825263311814e-08,1.4130709404412571e-08,4.999999999e-09,0.0,False,4.048685493642151e-08
1410,10748837,0x74b892425a206eb23905a5F5C322e4386460312d,7.1e-08,9.292378015031273e-08,2.1310945721743097e-07,9.266666666666666e-08,1.532064692570853e-08,False,4.0486856382428015e-08
1411,10788705,0xf3AC79663aEb55fe462Fbf7Dc4Ef80A154f25020,7.94e-07,5.034504386426123e-07,2.143917370792981e-07,5.5249999999975e-07,1.3951612810007398e-07,False,4.0486866091328834e-08
1412,11119320,0x2c02dF9D6f6d80b642AC99cd409dd03675B6bf9b,5e-08,2.709976153866939e-08,2.2233741226970524e-08,4.3e-08,7e-09,False,4.0486855969283294e-08
1413,10870004,0x43211FfC4dB5DBD9aDB3Af3aF87B585DD0F77C8f,2.39399999999e-07,1.3350193915970673e-07,6.26646956353064e-08,3.1451116770566667e-07,2.942712054377413e-07,False,4.048686092701988e-08
1414,11139565,0x58275e42f0DDB2Ea342a1C57f4966928A66a4289,1.683e-07,7.08804006301195e-08,3.992326112632482e-08,1.2290000040075e-07,4.7877812672601805e-08,False,4.0486855969283294e-08
1415,11024637,0xdC18AC54733697E00744E9980708A87783B4399F,1.03e-07,5.6468084146432356e-08,4.65815445287771e-08,7.44999999995e-08,2.8500000000499998e-08,False,4.0486855969283294e-08
1416,10994681,0x58275e42f0DDB2Ea342a1C57f4966928A66a4289,1.34e-07,1.308644303640476e-07,1.0266875439701564e-07,1.2599999999949998e-07,8.000000000000005e-09,False,4.048685803500688e-08
1417,10803706,0x6aBb69ddbD56F8d57A9a202fFcDC8E74E1870612,5.164e-06,3.147276271809057e-07,2.516823916798431e-07,1.4196666666661664e-06,1.7203237744360434e-06,False,4.048686464532233e-08
1418,10978690,0x9A55Dc9CcDD9a049FD53494dC2C4Ee868b3DBfC1,6.1000000001e-08,6.157747735116085e-08,1.219566342216905e-07,6.1e-08,1.0000018035725066e-18,False,4.048685555613858e-08
1419,9904057,0xaaa1f2842784a61c16d51a3777EE7d6Af4970dc3,4.603471937e-09,9.66962593448936e-09,1.1647856685262762e-08,4.301735968e-09,3.0173596900000013e-10,False,4.048685493642151e-08
1420,11252846,0x7777771F3a0DFBfFe0E995cCe5fA175b1d7AeDee,5.0999999999e-08,3.972555886543474e-08,2.7116795922229655e-08,4.5999999999e-08,4.9999999999999985e-09,False,4.048685555613858e-08
1421,11290078,0x763AF9F1A47C9074b2fe857e0247eC121f86a3Aa,1.69121405828e-07,4.473117492465935e-08,1.431769933790551e-07,9.90607029135e-08,7.006070291450001e-08,False,4.048685555613858e-08
1422,11019368,0xFcC34C4810635dB1A8A644323735da19b58A90Cd,6.3000000001e-08,5.755142360069895e-08,6.583864478731301e-08,6.3e-08,9.999951861495015e-19,False,4.0486856382428015e-08
1423,11063475,0x3f164D991502E930043292FaC5E62E313018125a,8.8999999999e-08,3.94366645662474e-08,4.147314027633677e-08,8.6499999999e-08,2.5000000000000025e-09,False,4.048685679557273e-08
1424,11162209,0xe198171Ab673697CAe1891490E78341befB792bA,4.4000000001e-08,3.2057942064081645e-08,5.35573260930692e-08,4.4e-08,9.999984948555303e-19,False,4.048685555613858e-08
1425,10463412,0x3829F1E9C2Da88beEbBd4273A574F1c5704F5c4a,4.9418313922e-08,6.699058791616422e-08,1.5564563487681072e-07,4.87091569605e-08,7.091569615000004e-10,False,4.0486855969283294e-08
1426,10784079,0xE2C9D57B79a2CA452398ab5C4589135C348D92E9,3.22e-07,2.9314306066575733e-07,1.4496463450561464e-07,3.22e-07,0.0,False,4.048686237302639e-08
1427,5627615,0xFF28319a7cD2136ea7283E7cDb0675B50AC29Dd2,1.098e-08,1.5803962199828997e-08,1.810124598737085e-08,1.098e-08,0.0,False,4.0486855142993866e-08
