,blockNumber,address,gasPrice,meanGasPriceLastTenBlocks,stdGasPriceLastTenBlocks,meanGasPriceLastTenBlocksSameEOA,stdGasPriceLastTenBlocksSameEOA,usedGasToken,predictedGasPrice
13,11239422,0x7777771F3a0DFBfFe0E995cCe5fA175b1d7AeDee,2.02897595607e-07,3.553292084939616e-08,3.5591928762189855e-08,1.2319939890075e-07,4.841713731793636e-08,False,4.048685658900037e-08
14,11217614,0x77777746cCB3f2965c0769E69de4b0F34D67FACd,1.03999999999e-07,4.122841146220045e-08,8.810656841364341e-08,1.0752391592775e-07,5.168178018878152e-08,False,4.048685555613858e-08
15,11250917,0xeD1cAa76a8cb7E671654A6c816a753acE6217BAE,4.9280011424e-08,7.572996771281687e-08,2.333225135480107e-07,4.66400058115e-08,2.6400056125000003e-09,False,4.048685555613858e-08
16,10931837,0x96F560D61c7247f8CB0a77cD2c0F9275Aee5c7b5,1.985e-06,1.2124518625472807e-07,8.086926292833337e-08,1.0444999999995e-06,9.405000000005e-07,False,4.048685762186216e-08
17,10871676,0x30b8235f492265A734347C0bF36E2FFcAD887be2,2.3e-07,1.6985090180260555e-07,1.0652708962844608e-07,2.3e-07,0.0,False,4.048686051387517e-08
18,11227658,0xa21caEbD27a296678176aC886735bfd18F875B8f,3.7000000013e-08,4.0128423249608036e-08,1.7095025858053772e-08,3.7000000006e-08,6.999999390117746e-18,False,4.048685576271094e-08
19,11229016,0xa21caEbD27a296678176aC886735bfd18F875B8f,6.6670002006e-08,6.498439631842838e-08,1.2181506965057453e-07,4.832634420120001e-07,1.2446726168817159e-06,False,4.0486855969283294e-08
20,11007406,0x20360C2E04afe0DCC526B1F6936246fce5A246ac,1.03999256276e-07,5.494013007137812e-08,4.0739325797257056e-08,1.029996281375e-07,9.996281385000012e-10,False,4.048685720871744e-08
21,10820088,0x30b8235f492265A734347C0bF36E2FFcAD887be2,1.58985236926e-07,8.080457372826449e-08,4.4103622467214064e-08,1.58985236926e-07,0.0,False,4.0486856382428015e-08
22,11168492,0xb5c2D8D414Ef99b34303496cFA667fC15E71b71A,1.545510745561e-06,2.6976519093915228e-08,6.059735024163793e-08,7.8330537278e-07,7.62205372781e-07,False,4.0486855142993866e-08
23,10938453,0xdC18AC54733697E00744E9980708A87783B4399F,1.53e-07,7.3835170746852e-08,3.3335641131693125e-08,1.087499999995e-07,2.9431063521783414e-08,False,4.0486855969283294e-08
24,10579813,0xb55DBB4dA8eE8Ee4D101B476DF1160065b81e12A,9.944e-08,7.700750404589165e-08,3.232487180936719e-08,9.944e-08,0.0,False,4.048685720871744e-08
25,11186628,0x9B568d160eBC9a73D32e88D1d2A9eE0570ad5C9E,5.000001e-08,2.473425380460272e-08,3.1705796393459795e-08,4.7666669999666666e-08,3.2998340023266496e-09,False,4.0486855969283294e-08
26,10051697,0xB3d8aB962cbA81b923d9F4dCb56864e1D0E20a4E,2.3867304267e-08,2.9353334573321796e-08,1.7620114332372438e-08,2.3351289634833335e-08,8.301444103173617e-10,False,4.0486855142993866e-08
27,11138074,0x7777772709517304d481AB92081069a1cB163aF7,3.6999999998e-08,3.7214430649534235e-08,3.363987973351996e-08,3.4499999998499995e-08,2.4999999994999983e-09,False,4.048685555613858e-08
28,10757536,0x5E041e82C956F92EFfAD323ce2b76d99490144dF,1.43750000002e-07,1.071344591744008e-07,5.74807416187717e-08,1.3489840000025002e-07,8.882495014660726e-09,False,4.0486858241579234e-08
29,11064871,0x3f164D991502E930043292FaC5E62E313018125a,8.4999999999e-08,8.671604614281746e-08,1.1561863733390802e-07,8.2499999999e-08,2.5000000000000025e-09,False,4.048685658900037e-08
30,11170833,0x7117791fEa7f8da5b10C41A8B3D1C433401C74b7,3.6225e-08,4.532957626129157e-08,3.019401018521894e-07,2.96124999995e-08,6.612500000500001e-09,False,4.0486855142993866e-08
31,11286458,0x878c10FD186976dB73F214811c2c40e57D9f2556,2.4000011459e-08,3.8638531744038564e-08,1.0376888458833507e-07,2.4000006458499998e-08,5.0005000008412814e-15,False,4.0486855142993866e-08
32,10902044,0x3829F1E9C2Da88beEbBd4273A574F1c5704F5c4a,2.66466200005e-07,1.061108523742843e-07,9.498472869860193e-08,1.84233100002e-07,8.2233100003e-08,False,4.048685720871744e-08
33,10076484,0xC8be454F5aeE51313A8D4949C3778aB97492F3be,5.000030378e-08,2.5570341593059842e-08,1.4240010636577871e-08,3.5000151889500004e-08,1.5000151890500002e-08,False,4.0486855142993866e-08
34,10672354,0xaaa2e80AB7D7b3C216af30Fc8165E7823e74cc62,1.301e-07,1.1858673215540608e-07,5.4067206374445066e-08,1.2406666666633335e-07,8.461809630230797e-09,False,4.048685803500688e-08
35,11084090,0x6B8B20166e61B46e9E73E217568b6a88974c6c7A,8.5926808689e-08,3.768868196395381e-08,3.086152343259353e-08,8.5926808689e-08,0.0,False,4.048685555613858e-08
