blockNumber,address,gasPrice,meanGasPriceLastTenBlocks,stdGasPriceLastTenBlocks,meanGasPriceLastTenBlocksSameEOA,stdGasPriceLastTenBlocksSameEOA,usedGasToken,predictedGasPrice
1150931,0x63a9975ba31B0b9626b34300f7f627147dF1F526,2e-08,1.932142857178572e-08,3.7230322821530952e-09,2e-08,0.0,False,4.0486856534016624e-08
14934579,0xC7b2e34214B7fF6aaf2CCf9Ca1cFbf4A22C50E7C,5.4475924086e-08,6.72572088644606e-08,2.0280493799474428e-08,6.0010386078e-08,5.5344619919999965e-09,False,4.0486856534016624e-08
4595017,0x18275914a8B07696d744f9F22205051F3bAc1a22,3e-10,1.2314899005492912e-08,1.1316528138364556e-08,3.0000000000000005e-10,5.169878828456423e-26,False,4.048685298130295e-08
4637108,0x8FD57124260fD234c9B7C1Aafc8C314Ef74C3DE2,4.2e-09,1.3427044869245942e-08,1.4555415323961303e-08,3.8e-09,5.65685424949238e-10,False,4.048685298130295e-08
10250639,0xadB2B42F6bD96F5c65920b9ac88619DcE4166f94,5.3e-08,4.8405337487361126e-08,1.339894233601736e-07,5.6125e-08,2.420614591379638e-09,False,4.0486856534016624e-08
19283902,0x9430801EBAf509Ad49202aaBC5F5Bc6fd8A3dAf8,6.2393889814e-08,5.588845384476363e-08,4.182545986603536e-08,5.7033322412228584e-08,3.2013272420941792e-09,False,4.0486856534016624e-08
12076321,0x5656AFB1Ea79e5C2411c89FdAD6A463c30AaD2Dc,1.97e-07,1.7503296243260378e-07,3.2560120863329365e-08,1.97e-07,0.0,False,4.04868600867303e-08
5706790,0x9ab8289980241C09424875cf67ab2810501a7682,1.2e-08,1.9707528740988282e-08,1.5571597987244752e-08,1.2e-08,0.0,False,4.048685298130295e-08
19317812,0x77DFfAe3E083d47A2F8248EDACeE60f06eF08D17,3.7383810929e-08,3.952737490692368e-08,3.165747072872857e-08,3.7383810929e-08,0.0,False,4.0486856534016624e-08
13635975,0x9430801EBAf509Ad49202aaBC5F5Bc6fd8A3dAf8,1.47e-07,1.284239191595725e-07,3.9178857570722846e-08,1.5030769230769233e-07,1.2766450114292152e-08,False,4.0486856534016624e-08
12663603,0xddfAbCdc4D8FfC6d5beaf154f18B778f892A0740,1.2e-08,9.672818014567287e-09,1.4481879662224152e-08,1.276e-08,5.12249938994628e-10,False,4.048685298130295e-08
5492426,0x0D0707963952f2fBA59dD06f2b425ace40b492Fe,8e-09,1.3942059052911573e-08,2.0626951546348256e-08,8e-09,0.0,False,4.048685298130295e-08
19219850,0x2C169DFe5fBbA12957Bdd0Ba47d9CEDbFE260CA7,5.3979401227e-08,5.7153251666003146e-08,1.4619068792668477e-08,5.430581654159183e-08,1.6287626594319264e-09,False,4.0486856534016624e-08
12316334,0x85b931A32a0725Be14285B66f1a22178c672d69B,1.2e-07,7.021445464614135e-08,2.549207296319172e-08,1.2e-07,0.0,False,4.0486856534016624e-08
4730953,0x674C18BE9d74C2eF31237970B5589b3dF0B911F8,5e-09,3.537663080719929e-08,1.7843535116707023e-08,5e-09,0.0,False,4.048685298130295e-08
4260786,0xa193C943980A9340F306b3d59Deb183Dc501B35f,5e-08,4.4600015708400194e-08,3.1674560571639444e-08,5e-08,0.0,False,4.0486856534016624e-08
6532335,0xF63D1b207D78CF95C547cF2caCffcCf0321384FD,6e-09,1.4231114837134565e-08,1.5930218123138908e-08,6e-09,0.0,False,4.048685298130295e-08
16795796,0xD64791E747188b0e5061fC65b56Bf20FeE2e3321,2.1356706265e-08,2.2678907733995826e-08,8.527575730297165e-09,2.1356706265e-08,0.0,False,4.0486856534016624e-08
9908804,0x22a1Bd0310A7215e8B2559dA7580ae24015c3Ab7,8.5e-09,1.5610525522568084e-08,1.4232274826475144e-08,8.5e-09,0.0,False,4.048685298130295e-08
10290666,0xc9C99c8c470682F60dd1605E9846c61f308Ae149,4.5e-08,4.6213660706506056e-08,1.2643893064476195e-08,4.5e-08,0.0,False,4.0486856534016624e-08
10577791,0x92e2D7B69aB17d3465A77Aa7B3Faa726eADde3a3,4.3e-08,5.504245073650817e-08,1.531004170002572e-08,4.3e-08,0.0,False,4.0486856534016624e-08
3636628,0xEA674fdDe714fd979de3EdF0F56AA9716B898ec8,2e-08,2.2640276221864083e-08,1.1530740135036212e-08,2.0000000000000007e-08,6.617444900424223e-24,False,4.0486856534016624e-08
13539437,0x07267d31F996EFfE242557Fa38a07F9B9e8f3936,1.84253192317e-07,2.22646133762963e-07,2.9050590988313865e-08,1.84253192317e-07,0.0,False,4.04868600867303e-08
9898954,0x377598d56030b2d6a9E83f20d44ba3B10ddFA2D5,2.6e-09,7.767011774973875e-09,9.682413617184718e-09,2.6e-09,0.0,False,4.048685298130295e-08
792010,0x2a65Aca4D5fC5B5C859090a6c34d164135398226,5e-08,5.45e-08,4.3301270189221905e-09,5e-08,0.0,False,4.0486856534016624e-08
3828300,0xb2930B35844a230f00E51431aCAe96Fe543a0347,2e-08,2.4187612049423797e-08,7.368413192255033e-09,2e-08,0.0,False,4.0486856534016624e-08
14443134,0xC5F84AB08EaB6DB3A25B1Ca7e1d62f4fEC5E28d4,4.42057133e-08,4.9349856155097744e-08,3.48191280955462e-08,4.42057133e-08,0.0,False,4.0486856534016624e-08
8583408,0xE0AA405a99ca08595690cB100dC4b6Cf32a1903B,2e-08,2.743694003009624e-08,1.1510141032387061e-08,2e-08,0.0,False,4.0486856534016624e-08
18288815,0x5437E2b4f7e6589FD9D1E881BF8EeAEd90ed9595,9.019151649e-09,8.081053834227272e-09,8.665200053644282e-09,8.8523018935e-09,1.668497555e-10,False,4.048685298130295e-08
7592182,0x62Ae125600bAa96c896651BB9F1e8c4D9182d3a7,1e-08,1.3338430736003898e-08,1.3509512202824234e-08,1e-08,0.0,False,4.048685298130295e-08
11769160,0xC1CC83201D14523191075041704BC26C99Ad1F3d,8.3e-08,1.1145285905350729e-07,1.59164303862234e-07,8.3e-08,0.0,False,4.0486856534016624e-08
